id,direccion_fuente,titulo,abstract,fecha_publicacion,idioma,num_citas,fwci,tematica_id,doi
4,https://joss.theoj.org/papers/10.21105/joss.00024.pdf,corner.py: Scatterplot matrices in Python,,2016-06-08,en,2004,102.603184,1,https://doi.org/10.21105/joss.00024
6,https://joss.theoj.org/papers/10.21105/joss.01026.pdf,Pingouin: statistics in Python,,2018-11-19,en,1574,58.57592541,1,https://doi.org/10.21105/joss.01026
